10000 4 0
692      270	271	1152	1523
693      2703	2672	147	149
694      1302	655	720	61
695      496	498	1767	2231
696      414	36	1197	814
697      1039	2217	3	2056
698      1290	902	901	2301
699      317	2551	2154	2550
700      2112	2733	2111	280
701      1390	2115	524	2368
702      2076	2654	2632	2693
703      1320	1321	1264	1265
704      1755	345	1673	2507
705      2602	2718	2603	2726
706      2648	2341	2020	2052
707      2367	2060	2020	2059
708      2334	2501	2268	2726
709      934	602	774	2253
710      2670	2279	2203	2280
711      213	1593	1592	2221
712      2225	2461	285	1070
713      613	774	133	2253
714      2687	262	85	2314
715      2183	191	190	192
716      2701	2566	253	2349
717      1074	2034	2123	2035
718      72		2678	486	1549
719      647	2718	1347	2602
720      166	167	2684	2616
721      2375	223	1566	2498
722      2450	805	2035	1074
723      1361	2692	2693	962
724      388	2425	1282	389
725      2145	2108	1891	2209
726      277	528	826	529
727      2225	2648	1177	2341
728      1364	880	2228	2533
729      2656	724	1666	426
730      2170	823	1882	825
731      962	961	1361	2692
732      1936	1823	1828	2660
733      380	1323	268	2729
734      1910	2387	1185	2600
735      1787	1241	165	1658
736      2373	2191	2355	1115
737      963	1710	794	2524
738      2160	2429	1932	2189
739      54		1409	740	2378
740      2196	439	2195	437
741      1302	719	655	2377
742      198	887	889	1187
743      2156	2155	2157	2332
744      2034	2664	2649	2450
745      2223	2084	2282	2331
746      1522	1972	1281	2032
747      2040	1034	748	747
748      2125	37	2177	2488
749      1088	1052	1814	2338
750      1000	1002	1659	2220
751      842	2475	1897	1892
752      2265	1671	1386	860
753      2288	2490	2647	2245
754      2194	2234	243	2150
755      2045	2046	2434	2047
756      2671	467	34	1015
757      597	469	468	2491
758      2547	2362	2006	577
759      2595	672	2075	1428
760      2219	1285	2265	1087
761      2517	2110	2096	2109
762      2239	2484	2238	1343
763      1823	1813	2362	1828
764      1421	2668	449	328
765      529	277	1836	1265
766      700	765	701	1967
767      741	1563	1564	2676
768      2226	861	2257	2728
769      329	2136	355	2139
770      2724	2436	2183	2643
771      795	197	723	252
772      991	19	1199	2085
773      1521	1123	1124	1520
774      1910	2387	2157	1715
775      2061	2319	1494	2491
776      518	468	1277	2484
777      1360	1635	1359	1298
778      481	907	2337	994
779      2269	1709	2560	2344
780      2502	2206	2434	2667
781      1886	2084	2331	1700
782      2252	1408	1310	2013
783      1177	1179	943	2460
784      105	682	681	2307
785      2181	312	963	314
786      1929	417	72	956
787      2375	706	2497	2164
788      2026	2516	2232	2694
789      1993	2466	1994	945
790      2555	1085	703	897
791      2394	2593	2618	2619
792      2322	1862	2697	1978
793      1029	826	1265	1540
794      2445	2031	819	2107
795      2520	291	1021	292
796      554	1918	2396	875
797      2028	2118	2223	2224
798      2284	489	1576	2285
799      160	2169	2690	1421
800      2525	1811	2312	2372
801      1538	1245	1716	2652
802      2489	1545	465	1263
803      1368	348	1286	2508
804      2170	2053	2310	2172
805      2325	285	2451	2225
806      179	2560	181	427
807      2097	2017	2492	1865
808      791	790	1927	792
809      2674	1660	51	2510
810      856	858	2193	729
811      2430	1332	627	247
812      329	694	1399	1449
813      2188	2189	2367	2190
814      1934	482	2336	2337
815      1120	1659	2114	2220
816      2682	1375	2043	2308
817      871	2141	1224	2689
818      534	535	2260	552
819      2107	2105	2106	2068
820      451	951	452	2641
821      2659	2501	2268	754
822      95		836	2443	2646
823      1471	2552	2553	1717
824      2699	2180	821	1161
825      2422	59	1973	2730
826      2435	2638	2045	2434
827      2307	105	749	1609
828      2595	2468	2441	2074
829      2681	2527	883	1008
830      2573	2541	2213	745
831      1201	2561	2666	2156
832      2605	2287	2540	53
833      2403	185	1466	187
834      1688	1449	2129	1689
835      2042	2043	730	2044
836      1517	2050	547	118
837      2632	2172	2483	2279
838      2718	2501	2602	647
839      2117	2581	2300	2174
840      1248	2062	2647	2562
841      280	281	279	2111
842      2258	2541	1171	500
843      1812	1432	1811	2372
844      1212	1997	2706	1746
845      1375	2682	2042	1624
846      2255	2254	2052	2020
847      2523	2456	2711	305
848      1190	35	1197	1191
849      1886	2677	248	1887
850      590	216	215	214
851      2093	2427	2068	2143
852      1262	829	1099	2376
853      79		2123	2232	78
854      2376	829	122	1262
855      132	1996	2011	614
856      1001	1429	1308	2584
857      1318	778	780	1881
858      2548	470	336	1656
859      1548	1956	1941	191
860      2300	2009	2027	2008
861      490	474	2177	2406
862      29		2210	2662	28
863      2656	761	1586	1666
864      1174	2211	2636	2662
865      2341	2050	2051	786
866      2135	2321	2670	2203
867      1337	1295	533	600
868      2352	1732	1259	1260
869      1201	1917	1407	2447
870      783	1847	58	1846
871      2587	667	665	1353
872      1808	1350	1017	2045
873      147	2672	1678	2578
874      1012	2588	2589	1013
875      2333	2562	2431	1111
876      1261	21	960	2276
877      493	1266	228	1366
878      2093	2095	2373	2212
879      2329	2024	2189	2430
880      2156	2639	2289	2651
881      932	1027	933	2628
882      549	658	2713	657
883      2613	2175	2581	934
884      2606	2607	2534	375
885      2597	2159	2410	2354
886      107	2085	2087	2086
887      2571	2255	756	2648
888      594	306	596	1741
889      2632	113	2053	2205
890      1315	2368	979	2178
891      1103	1101	1938	91
892      390	2690	159	2169
893      1234	1495	2700	2593
894      80		1284	2119	1075
895      1934	2336	805	2298
896      2571	941	1505	2439
897      1078	1942	1079	893
898      1829	2525	1425	2089
899      2402	2374	1617	1616
900      2097	1849	1785	1865
901      1656	335	1626	236
902      1803	1804	1402	2052
903      1850	1970	666	2587
904      1413	1868	549	176
905      2715	29	572	527
906      2697	2321	1587	2311
907      909	1477	482	2336
908      2448	2538	2056	2
909      1864	2543	2723	2526
910      2460	2322	2438	2197
911      712	2592	381	2130
912      2537	2504	616	1894
913      193	2633	195	1601
914      1012	2589	2588	2473
915      2366	1208	1129	1775
916      1937	1713	1104	1535
917      2620	2650	1768	2156
918      83		691	84	2067
919      602	1592	2221	213
920      2523	2365	2711	2456
921      1577	1274	1712	2645
922      1189	1015	458	2671
923      2262	2131	2390	2472
924      2068	691	689	542
925      2636	2614	1174	950
926      1611	1112	1576	2284
927      1007	1549	1223	2293
928      1274	1273	1292	2645
929      206	207	205	2048
930      2052	756	1804	895
931      977	52	954	2283
932      2638	1017	2045	384
933      1241	1242	1240	2583
934      1605	2202	1046	2248
935      208	1691	209	2500
936      1006	1007	707	38
937      1125	875	770	621
938      2291	1858	1613	2066
939      2619	2297	2242	2618
940      2107	2446	2210	2211
941      2026	2034	2123	2152
942      2371	1812	1900	1811
943      620	157	2477	158
944      2208	2162	2522	2404
945      2389	2092	1849	2097
946      29		2662	30	28
947      2510	2283	2704	955
948      654	1863	1099	655
949      1824	2463	426	2464
950      911	1744	1396	658
951      2203	2206	2054	2135
952      219	2157	2187	1715
953      2510	2283	186	2704
954      2657	2389	2608	2373
955      2477	23	24	156
956      2483	2536	642	651
957      2043	2682	1110	234
958      889	1384	198	693
959      1259	1258	2352	1260
960      2087	2632	2203	2037
961      492	490	491	2487
962      2572	435	2104	436
963      446	1434	2200	448
964      1570	1788	1631	2397
965      2108	2295	2145	2637
966      379	1838	520	381
967      1033	360	2600	1032
968      1754	522	1056	964
969      1856	2287	2003	1299
970      1764	956	1502	2661
971      1799	598	1415	1456
972      1017	384	2638	546
973      1298	2249	2734	2252
974      799	798	387	2064
975      2580	2113	2623	2567
976      2110	2494	867	1108
977      2538	2172	2091	2670
978      931	932	2704	2283
979      1565	1324	2127	2661
980      425	297	296	1094
981      670	508	731	1679
982      2183	1941	1956	191
983      1244	156	23	2477
984      2629	1248	2534	2606
985      187	399	1465	479
986      2518	2672	1493	374
987      2178	2368	526	2179
988      1483	2394	1250	2592
989      590	635	216	214
990      2440	2319	2061	2633
991      1942	1757	1079	893
992      1577	2099	192	2485
993      2129	331	2138	1449
994      2027	2025	2273	2300
995      441	306	1208	2710
996      2081	1697	2420	1137
